produto;grupo;tipo_cultura;ano;area_ha;valor_mil_reais;n_municipios;pct_area_estado;pct_valor_estado;valor_por_ha_reais
Melancia;Frutas;temporária;2018;3982,0;72011,0;70;0,23;0,71;18084,0
Melancia;Frutas;temporária;2019;3970,0;84403,0;73;0,22;0,8;21260,0
Melancia;Frutas;temporária;2020;4313,0;98336,0;74;0,21;0,64;22800,0
Melancia;Frutas;temporária;2021;4180,0;108920,0;73;0,19;0,53;26057,0
Melancia;Frutas;temporária;2022;4213,0;118481,0;73;0,18;0,49;28123,0
Melancia;Frutas;temporária;2023;4110,0;135696,0;73;0,16;0,47;33016,0
Melancia;Frutas;temporária;2024;4660,0;161724,0;77;0,16;0,45;34705,0
Melancia;Frutas;temporária;2025;4965,0;160080,0;83;0,15;0,42;32242,0
Melão;Frutas;temporária;2016;11,0;61,0;2;0,0;0,0;5545,0
Melão;Frutas;temporária;2017;10,0;102,0;2;0,0;0,0;10200,0
Melão;Frutas;temporária;2018;8,0;35,0;2;0,0;0,0;4375,0
Melão;Frutas;temporária;2019;8,0;25,0;2;0,0;0,0;3125,0
Melão;Frutas;temporária;2020;8,0;63,0;2;0,0;0,0;7875,0
Melão;Frutas;temporária;2021;8,0;68,0;2;0,0;0,0;8500,0
Melão;Frutas;temporária;2022;6,0;54,0;2;0,0;0,0;9000,0
Melão;Frutas;temporária;2023;5,0;119,0;2;0,0;0,0;23800,0
Melão;Frutas;temporária;2024;6,0;125,0;2;0,0;0,0;20833,0
Melão;Frutas;temporária;2025;6,0;188,0;2;0,0;0,0;31333,0
Milho (em grão);Grãos e oleaginosas;temporária;2016;198461,0;470512,0;125;12,66;4,77;2371,0
Milho (em grão);Grãos e oleaginosas;temporária;2017;266993,0;444531,0;126;15,44;4,15;1665,0
Milho (em grão);Grãos e oleaginosas;temporária;2018;226708,0;457894,0;125;13,31;4,54;2020,0
Milho (em grão);Grãos e oleaginosas;temporária;2019;259122,0;482182,0;120;14,24;4,55;1861,0
Milho (em grão);Grãos e oleaginosas;temporária;2020;320749,0;667899,0;119;15,91;4,37;2082,0
Milho (em grão);Grãos e oleaginosas;temporária;2021;362071,0;1360015,0;116;16,77;6,59;3756,0
Milho (em grão);Grãos e oleaginosas;temporária;2022;405590,0;1559467,0;117;17,53;6,4;3845,0
Milho (em grão);Grãos e oleaginosas;temporária;2023;485255,0;1972341,0;119;19,04;6,9;4065,0
Milho (em grão);Grãos e oleaginosas;temporária;2024;477962,0;1562173,0;121;16,88;4,35;3268,0
Milho (em grão);Grãos e oleaginosas;temporária;2025;684858,0;2869942,0;122;20,31;7,48;4191,0
