produto;grupo;ano;area_ha;valor_nominal;valor_real;n_municipios;valor_por_ha_reais
Manga;Frutas;2025;14,0;60,0;60,0;1;4286,0
Maracujá;Frutas;2016;1970,0;37357,0;58192,86675;71;29540,0
Maracujá;Frutas;2017;1127,0;22797,0;34328,930841;55;30460,0
Maracujá;Frutas;2018;1462,0;21151,0;30724,281015999997;57;21015,0
Maracujá;Frutas;2019;1673,0;28929,0;40510,493718;64;24214,0
Maracujá;Frutas;2020;1629,0;35757,0;48513,881861999995;64;29781,0
Maracujá;Frutas;2021;1583,0;45942,0;57554,52963;66;36358,0
Maracujá;Frutas;2022;1560,0;56162,0;64382,993559999995;68;41271,0
Maracujá;Frutas;2023;1613,0;66801,0;73216,100433;66;45391,0
Maracujá;Frutas;2024;1653,0;63858,0;67061,628144;69;40570,0
Maracujá;Frutas;2025;2576,0;88179,0;88179,0;69;34231,0
Melancia;Frutas;2016;5686,0;109767,0;170989,54425;84;30072,0
Melancia;Frutas;2017;4332,0;88863,0;133814,615139;63;30890,0
Melancia;Frutas;2018;3982,0;72011,0;104604,33077599999;70;26269,0
Melancia;Frutas;2019;3970,0;84403,0;118193,065826;73;29772,0
Melancia;Frutas;2020;4313,0;98336,0;133418,941376;74;30934,0
Melancia;Frutas;2021;4180,0;108920,0;136451,16379999998;73;32644,0
Melancia;Frutas;2022;4213,0;118481,0;135824,24878;73;32239,0
Melancia;Frutas;2023;4110,0;135696,0;148727,293968;73;36187,0
Melancia;Frutas;2024;4660,0;161724,0;169837,369632;77;36446,0
Melancia;Frutas;2025;4965,0;160080,0;160080,0;83;32242,0
Melão;Frutas;2016;11,0;61,0;95,02275;2;8638,0
Melão;Frutas;2017;10,0;102,0;153,59700600000002;2;15360,0
Melão;Frutas;2018;8,0;35,0;50,841559999999994;2;6355,0
Melão;Frutas;2019;8,0;25,0;35,00855;2;4376,0
Melão;Frutas;2020;8,0;63,0;85,476258;2;10685,0
Melão;Frutas;2021;8,0;68,0;85,18802;2;10649,0
Melão;Frutas;2022;6,0;54,0;61,90452;2;10317,0
Melão;Frutas;2023;5,0;119,0;130,427927;2;26086,0
Melão;Frutas;2024;6,0;125,0;131,27100000000002;2;21879,0
Melão;Frutas;2025;6,0;188,0;188,0;2;31333,0
Milho (em grão);Grãos e oleaginosas;2016;198461,0;470512,0;732940,068;125;3693,0
Milho (em grão);Grãos e oleaginosas;2017;266993,0;444531,0;669398,339943;126;2507,0
Milho (em grão);Grãos e oleaginosas;2018;226708,0;457894,0;665144,1507039999;125;2934,0
Milho (em grão);Grãos e oleaginosas;2019;259122,0;482182,0;675219,706244;120;2606,0
Milho (em grão);Grãos e oleaginosas;2020;320749,0;667899,0;906182,6546339999;119;2825,0
Milho (em grão);Grãos e oleaginosas;2021;362071,0;1360015,0;1703779,191475;116;4706,0
Milho (em grão);Grãos e oleaginosas;2022;405590,0;1559467,0;1787741,7794599999;117;4408,0
Milho (em grão);Grãos e oleaginosas;2023;485255,0;1972341,0;2161750,823253;119;4455,0
Milho (em grão);Grãos e oleaginosas;2024;477962,0;1562173,0;1640544,095064;121;3432,0
Milho (em grão);Grãos e oleaginosas;2025;684858,0;2869942,0;2869942,0;122;4191,0
Milho verde;Hortaliças;2025;2787,0;67273,0;67273,0;24;24138,0
Palmito;Perenes comerciais;2016;575,0;4813,0;7497,45075;4;13039,0
Palmito;Perenes comerciais;2017;575,0;4821,0;7259,717313000001;4;12626,0
Palmito;Perenes comerciais;2018;520,0;3909,0;5678,275944;3;10920,0
Palmito;Perenes comerciais;2019;220,0;1679,0;2351,174218;2;10687,0
Palmito;Perenes comerciais;2020;220,0;897,0;1217,019102;2;5532,0
Palmito;Perenes comerciais;2021;225,0;1013,0;1269,050945;2;5640,0
Palmito;Perenes comerciais;2022;215,0;1675,0;1920,1864999999998;2;8931,0
Palmito;Perenes comerciais;2023;110,0;1058,0;1159,602914;2;10542,0
Palmito;Perenes comerciais;2024;215,0;814,0;854,836752;2;3976,0
Pimenta-do-reino;Perenes comerciais;2016;16753,0;836181,0;1302560,95275;81;77751,0
Pimenta-do-reino;Perenes comerciais;2017;16289,0;515742,0;776631,637926;80;47678,0
Pimenta-do-reino;Perenes comerciais;2018;15713,0;240241,0;348977,92045599996;79;22210,0
Pimenta-do-reino;Perenes comerciais;2019;16409,0;223996,0;313671,006632;80;19116,0
Pimenta-do-reino;Perenes comerciais;2020;16395,0;339781,0;461003,308246;81;28119,0
Pimenta-do-reino;Perenes comerciais;2021;16322,0;458457,0;574338,883605;82;35188,0
Pimenta-do-reino;Perenes comerciais;2022;18069,0;470854,0;539777,60852;80;29873,0
Pimenta-do-reino;Perenes comerciais;2023;17744,0;472263,0;517615,83267900004;81;29171,0
Pimenta-do-reino;Perenes comerciais;2024;18515,0;1248359,0;1310986,674312;80;70807,0
Pimenta-do-reino;Perenes comerciais;2025;18560,0;1179084,0;1179084,0;78;63528,0
Soja (em grão);Grãos e oleaginosas;2016;433813,0;1574981,0;2453426,65275;27;5655,0
Soja (em grão);Grãos e oleaginosas;2017;500385,0;1568241,0;2361540,4145730003;29;4719,0
Soja (em grão);Grãos e oleaginosas;2018;557542,0;1744034,0;2533411,692944;29;4544,0
Soja (em grão);Grãos e oleaginosas;2019;577764,0;1985588,0;2780502,271096;32;4813,0
Soja (em grão);Grãos e oleaginosas;2020;643267,0;2823607,0;3830973,974962;32;5955,0
Soja (em grão);Grãos e oleaginosas;2021;753781,0;5601634,0;7017531,01801;32;9310,0
Soja (em grão);Grãos e oleaginosas;2022;839560,0;7483981,0;8579486,13878;31;10219,0
Soja (em grão);Grãos e oleaginosas;2023;1007539,0;6776978,0;7427791,528274;32;7372,0
Soja (em grão);Grãos e oleaginosas;2024;1194024,0;7307684,0;7674295,890912;41;6427,0
Soja (em grão);Grãos e oleaginosas;2025;1323964,0;8381745,0;8381745,0;41;6331,0
Sorgo (em grão);Grãos e oleaginosas;2016;5270,0;4216,0;6567,474;3;1246,0
Sorgo (em grão);Grãos e oleaginosas;2017;5472,0;4362,0;6568,530786;3;1200,0
Sorgo (em grão);Grãos e oleaginosas;2018;4485,0;4599,0;6680,580983999999;3;1490,0
Sorgo (em grão);Grãos e oleaginosas;2019;20651,0;15668,0;21940,558456;8;1062,0
Sorgo (em grão);Grãos e oleaginosas;2020;20251,0;20773,0;28184,100118;8;1392,0
Sorgo (em grão);Grãos e oleaginosas;2021;20537,0;35546,0;44530,78468999999;5;2168,0
Sorgo (em grão);Grãos e oleaginosas;2022;21857,0;50142,0;57481,78596;7;2630,0
Sorgo (em grão);Grãos e oleaginosas;2023;30045,0;44864,0;49172,424512000005;8;1637,0
